RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5
RA-23,6,A,Aluno-23,2005,17,Menino,2021,Escola Pública,,Ametista,Ametista,7.677,243,8,8,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,8.1,Sem limitações,6.7,7.2,4.7,8.2,Sim,Sim,8.556,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-24,6,A,Aluno-24,2005,17,Menina,2021,Rede Decisão,,Topázio,Topázio,8.087,119,5,5,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,6.9,Requer avaliação,8.6,10.0,6.3,9.7,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-25,6,A,Aluno-25,2005,17,Menina,2021,Escola Pública,,Topázio,Ametista,7.979,147,6,6,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.3,8.8,Sem limitações,6.9,9.2,3.8,7.7,Sim,Sim,9.667,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-26,6,A,Aluno-26,2005,17,Menino,2022,Escola Pública,,,Topázio,8.677,17,3,3,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.8,10.0,Sem limitações,8.0,9.5,4.4,10.0,Sim,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-27,6,A,Aluno-27,2005,17,Menino,2016,Rede Decisão,Topázio,Ametista,Ametista,7.124,449,12,12,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.6,8.1,Sem limitações,8.0,7.7,6.3,10.0,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-28,6,A,Aluno-28,2005,17,Menina,2019,Escola Pública,Ametista,Ametista,Ágata,6.242,698,14,14,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,6.1,7.5,Requer avaliação,5.0,8.2,1.5,5.3,Não,Não,6.333,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,1.0,False,0
RA-31,6,A,Aluno-31,2005,17,Menina,2019,Rede Decisão,Topázio,Topázio,Topázio,8.843,9,2,2,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.5,9.4,Sem limitações,8.0,9.0,5.7,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-34,6,A,Aluno-34,2005,17,Menino,2016,Rede Decisão,Ametista,Ametista,Ágata,6.259,692,13,13,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,4.8,8.1,Sem limitações,3.8,4.7,4.0,2.8,Não,Não,7.278,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,1.0,False,0
RA-35,6,A,Aluno-35,2005,17,Menina,2019,Rede Decisão,Ametista,Topázio,Topázio,8.965,5,1,1,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.6,9.4,Sem limitações,8.5,9.0,7.1,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-36,6,A,Aluno-36,2005,17,Menina,2019,Rede Decisão,Topázio,Ametista,Ametista,7.876,177,7,7,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.9,Sem limitações,6.8,8.5,4.3,7.8,Não,Sim,8.944,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-38,6,A,Aluno-38,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,Topázio,8.523,31,4,4,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,7.5,Não indicado,8.6,9.0,7.0,9.7,Não,Sim,9.833,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,1.0,True,0
RA-40,5,A,Aluno-40,2006,16,Menina,2016,Rede Decisão,Ametista,Ágata,Ametista,7.203,429,27,3,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,7.8,7.5,Sem limitações,6.8,4.7,7.3,8.4,Não,Não,7.75,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-46,5,A,Aluno-46,2005,17,Menina,2022,Escola Pública,,,Ágata,6.048,719,46,7,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,8.4,6.3,Sem limitações,2.1,2.8,2.8,0.7,Não,Não,7.083,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-49,5,A,Aluno-49,2005,17,Menina,2022,Escola Pública,,,Ágata,6.304,687,42,6,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,7.5,7.4,7.5,Sem limitações,3.9,1.5,4.2,6.2,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-50,5,A,Aluno-50,2004,18,Menina,2022,Escola Pública,,,Ametista,7.138,445,28,4,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,7.5,8.4,7.5,Sem limitações,7.8,6.5,7.3,9.7,Não,Não,7.542,2.5,Fase 8 (Universitários),-3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,3.0,False,0
RA-51,5,B,Aluno-51,2005,17,Menina,2022,Escola Pública,,,Ágata,6.488,645,39,13,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,7.6,7.5,Não atendido,5.0,4.5,4.5,6.0,Não,Não,6.5,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-53,5,B,Aluno-53,2005,17,Menino,2022,Escola Pública,,,Ágata,6.725,579,32,11,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,9.2,7.0,7.5,Não atendido,7.0,6.0,8.0,,Não,Não,6.458,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-54,5,B,Aluno-54,2006,16,Menina,2022,Escola Pública,,,Ágata,6.058,716,45,14,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,7.9,6.9,7.5,Não atendido,4.8,3.0,6.5,,Não,Não,6.125,5.0,Fase 6 (2º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-55,5,B,Aluno-55,2006,16,Menina,2017,Escola Pública,Ametista,Ametista,Ágata,6.576,634,38,12,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,7.1,7.6,5.6,Requer avaliação,7.5,6.7,7.8,7.9,Não,Não,6.5,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-57,5,B,Aluno-57,2006,16,Menino,2017,Rede Decisão,Ametista,Ametista,Ametista,7.305,388,25,10,3,Avaliador-5,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,,7.1,8.1,5.6,Requer avaliação,8.4,9.0,7.0,9.3,Não,Não,7.875,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-59,5,B,Aluno-59,2005,17,Menino,2022,Escola Pública,,,Ametista,7.642,257,15,7,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,9.2,9.3,7.5,Não atendido,7.2,7.0,5.7,8.8,Não,Não,7.917,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-60,5,B,Aluno-60,2004,18,Menina,2021,Escola Pública,,Quartzo,Quartzo,5.537,787,53,16,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,6.7,6.0,7.5,Não atendido,4.9,5.0,6.2,3.5,Não,Não,6.167,2.5,Fase 8 (Universitários),-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,3.0,False,0
RA-62,5,B,Aluno-62,2005,17,Menino,2022,Escola Pública,,,Ametista,7.891,173,11,4,3,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,9.4,7.5,Não atendido,9.3,8.5,10.0,,Sim,Não,7.25,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-63,5,B,Aluno-63,2006,16,Menino,2018,Rede Decisão,Ametista,Ametista,Topázio,8.282,64,8,2,3,Avaliador-5,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,8.3,9.1,8.8,Sem limitações,8.7,8.2,8.2,9.7,Não,Sim,9.417,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,1.0,True,0
RA-64,5,B,Aluno-64,2006,16,Menino,2019,Escola Pública,Ametista,Topázio,Ametista,7.368,372,23,9,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.1,8.1,8.1,Sem limitações,7.5,4.8,8.2,9.4,Sim,Não,8.25,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-65,5,B,Aluno-65,2005,17,Menina,2022,Escola Pública,,,Ametista,7.712,232,13,6,3,Avaliador-5,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,8.3,7.7,7.5,Não atendido,9.3,9.0,9.5,9.5,Sim,Não,7.875,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,2.0,False,0
RA-68,5,C,Aluno-68,2006,16,Menino,2019,Escola Pública,Ametista,Ágata,Ágata,6.438,653,40,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,6.0,7.5,Não atendido,4.0,4.7,4.8,2.7,Sim,Não,7.944,5.0,Fase 6 (2º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,1.0,False,0
RA-72,5,C,Aluno-72,2005,17,Menina,2022,Escola Pública,,,Ametista,7.64,259,16,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,8.3,7.5,7.5,Não atendido,7.8,7.5,7.8,8.0,Sim,Sim,8.667,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,2.0,True,0
RA-78,5,F,Aluno-78,2005,17,Menino,2018,Rede Decisão,Ametista,Ágata,Ametista,7.04,475,29,2,4,Avaliador-5,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,8.3,6.6,5.6,Requer avaliação,7.2,8.7,5.7,7.3,Não,Não,8.0,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,2.0,False,0
