RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5
RA-56,5,B,Aluno-56,2007,15,Menina,2019,Rede Decisão,Topázio,Topázio,Topázio,8.404,46,7,1,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,10.0,10.0,7.5,Sem limitações,7.0,4.5,6.5,10.0,Não,Não,8.25,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,False,4
RA-58,5,B,Aluno-58,2007,15,Menino,2017,Rede Decisão,Topázio,Topázio,Topázio,8.136,103,9,3,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,9.6,9.2,6.3,Sem limitações,7.2,4.5,8.0,9.0,Não,Não,8.125,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,False,4
RA-61,5,B,Aluno-61,2007,15,Menino,2021,Escola Pública,,Ágata,Ametista,7.533,298,20,8,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,9.2,7.4,7.5,Não atendido,5.8,1.7,6.3,9.3,Sim,Não,7.875,10.0,Fase 5 (1º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,False,4
RA-76,5,F,Aluno-76,2007,15,Menina,2017,Rede Decisão,Ametista,Topázio,Topázio,9.105,3,3,1,4,Avaliador-5,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.1,8.1,Sem limitações,8.7,9.3,8.3,8.4,Não,Sim,9.292,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,True,4
RA-81,5,K,Aluno-81,2008,14,Menina,2017,Rede Decisão,Ametista,Topázio,Ametista,7.675,247,14,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.2,5.0,Requer avaliação,6.0,5.5,5.2,7.3,Não,Não,7.458,10.0,Fase 4 (9º ano),1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,-1.0,False,4
RA-85,5,K,Aluno-85,2007,15,Menino,2022,Escola Pública,,,Ágata,6.243,697,43,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,Mantido na Fase atual,6.7,7.3,5.0,Requer avaliação,4.3,5.0,3.5,,Não,Não,5.833,10.0,Fase 5 (1º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,0.0,False,4
RA-87,5,K,Aluno-87,2007,15,Menino,2021,Rede Decisão,,Ametista,Topázio,8.712,15,6,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.6,7.5,Não atendido,8.8,8.3,8.0,10.0,Não,Sim,8.5,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,True,4
RA-90,5,L,Aluno-90,2009,13,Menina,2019,Rede Decisão,Topázio,Topázio,Topázio,9.442,1,1,1,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.7,9.4,Sem limitações,8.5,7.7,8.0,9.8,Não,Sim,9.75,10.0,Fase 3 (7º e 8º ano),2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,-2.0,True,4
RA-93,5,L,Aluno-93,2007,15,Menina,2016,Rede Decisão,Ametista,Topázio,Topázio,8.941,6,4,3,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.7,8.1,Sem limitações,8.5,8.8,8.3,8.4,Não,Sim,9.083,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,True,4
RA-94,5,L,Aluno-94,2007,15,Menina,2018,Rede Decisão,Ametista,Topázio,Topázio,8.921,7,5,4,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.6,8.1,Sem limitações,7.7,7.0,6.7,9.5,Não,Sim,9.583,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,True,4
RA-97,5,L,Aluno-97,2007,15,Menina,2017,Rede Decisão,Ametista,Ágata,Ametista,7.468,328,22,6,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,7.5,8.8,5.0,Não indicado,6.9,5.3,6.7,8.8,Não,Não,6.292,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,0.0,False,4
RA-98,5,L,Aluno-98,2007,15,Menina,2017,Rede Decisão,Topázio,Topázio,Topázio,9.354,2,2,2,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.8,10.0,9.4,Sem limitações,8.5,8.4,8.2,8.9,Não,Sim,9.667,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,0.0,True,4
RA-100,4,A,Aluno-100,2009,13,Menina,2019,Rede Decisão,Ametista,Topázio,Ametista,7.618,268,22,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,7.8,5.0,Não indicado,7.6,7.0,7.8,8.1,Não,Não,7.25,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.0,-1.0,False,4
RA-102,4,A,Aluno-102,2008,14,Menino,2019,Escola Pública,Ametista,Ametista,Ágata,6.922,519,43,9,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,6.7,7.7,6.9,Requer avaliação,5.7,4.7,6.8,5.5,Não,Não,6.0,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-103,4,A,Aluno-103,2009,13,Menina,2020,Rede Decisão,Ágata,Ametista,Topázio,8.107,114,11,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.7,7.5,Não atendido,7.3,7.3,7.3,7.3,Não,Não,7.708,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,-1.0,False,4
RA-110,4,A,Aluno-110,2008,14,Menino,2017,Rede Decisão,Ametista,Topázio,Topázio,8.15,100,10,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.7,5.6,Requer avaliação,6.7,8.3,5.7,6.0,Não,Não,8.0,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-111,4,A,Aluno-111,2009,13,Menina,2020,Rede Decisão,Ametista,Topázio,Topázio,8.646,22,2,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.4,8.1,Sem limitações,8.0,6.7,7.5,9.7,Não,Sim,8.667,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,-1.0,True,4
RA-118,4,B,Aluno-118,2008,14,Menina,2021,Escola Pública,,Ametista,Quartzo,5.597,775,70,12,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,5.3,6.3,Sem limitações,3.9,3.7,4.7,3.5,Não,Não,6.958,10.0,Fase 4 (9º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-119,4,B,Aluno-119,2008,14,Menina,2016,Rede Decisão,Ametista,Ágata,Ametista,7.501,311,26,3,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,5.6,Requer avaliação,5.4,5.7,7.0,3.4,Não,Não,7.875,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-124,4,B,Aluno-124,2008,14,Menino,2016,Rede Decisão,Ametista,Ametista,Ametista,7.388,365,29,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.8,5.0,Requer avaliação,6.7,5.7,7.0,7.5,Não,Não,7.167,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-127,4,B,Aluno-127,2008,14,Menina,2022,Escola Pública,,,Topázio,8.283,63,7,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,8.7,7.5,Não atendido,7.9,7.7,7.7,8.3,Sim,Não,8.125,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-132,4,F,Aluno-132,2008,14,Menina,2019,Rede Decisão,Topázio,Ametista,Topázio,8.355,53,5,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.8,5.6,Sem limitações,7.7,6.5,7.5,9.1,Não,Sim,8.458,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,True,4
RA-140,4,F,Aluno-140,2008,14,Menina,2021,Escola Pública,,Ametista,Ametista,7.407,358,28,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,7.9,7.6,6.9,Não atendido,5.7,5.0,6.5,5.6,Sim,Não,7.667,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-141,4,F,Aluno-141,2008,14,Menino,2017,Escola Pública,Ágata,Ágata,Ametista,7.118,450,36,8,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,8.2,5.6,Requer avaliação,5.7,5.8,6.2,5.0,Não,Não,5.917,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-142,4,F,Aluno-142,2008,14,Menina,2021,Escola Pública,,Ágata,Ametista,7.457,332,27,5,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,6.7,8.6,5.6,Requer avaliação,6.3,6.0,6.8,6.0,Não,Não,7.583,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-143,4,F,Aluno-143,2009,13,Menino,2019,Rede Decisão,Topázio,Topázio,Topázio,8.638,24,3,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.9,5.6,Sem limitações,7.9,9.7,7.7,6.4,Não,Sim,9.5,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,-1.0,True,4
RA-144,4,F,Aluno-144,2008,14,Menina,2017,Rede Decisão,Ágata,Quartzo,Topázio,8.181,89,9,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.3,5.0,Requer avaliação,7.9,7.5,7.2,9.0,Não,Não,8.292,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-147,4,H,Aluno-147,2008,14,Menina,2022,Escola Pública,,,Ametista,7.541,293,24,4,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,7.7,7.5,Não atendido,6.1,5.8,4.8,7.7,Não,Não,7.25,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-148,4,H,Aluno-148,2008,14,Menino,2022,Escola Pública,,,Ametista,7.894,172,16,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,10.0,Sem limitações,5.3,4.7,6.3,5.0,Sim,Não,7.708,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-153,4,L,Aluno-153,2008,14,Menina,2018,Rede Decisão,Ágata,Ametista,Ametista,7.535,297,25,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.2,5.0,Requer avaliação,6.6,3.3,7.7,8.8,Não,Não,7.708,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-157,4,L,Aluno-157,2010,12,Menina,2018,Rede Decisão,Ametista,Topázio,Topázio,8.317,59,6,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,10.0,6.3,Requer avaliação,7.7,7.0,7.5,8.7,Não,Não,8.292,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,-1.0,False,4
RA-161,4,L,Aluno-161,2011,11,Menina,2018,Rede Decisão,Ametista,Ametista,Ametista,7.957,153,14,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.1,5.6,Requer avaliação,6.9,5.3,6.8,8.5,Não,Não,8.083,10.0,Fase 2 (5º e 6º ano),2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,-2.0,False,4
RA-162,4,L,Aluno-162,2008,14,Menina,2021,Escola Pública,,Ágata,Ametista,7.215,423,34,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,6.7,8.5,7.5,Requer avaliação,5.5,4.7,5.5,6.4,Não,Não,6.542,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,False,4
RA-165,4,L,Aluno-165,2008,14,Menina,2017,Rede Decisão,Ametista,Ametista,Topázio,8.063,128,12,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,9.8,5.6,Sem limitações,7.6,5.3,7.8,9.7,Não,Não,7.5,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,0.0,False,4
