RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5
RA-189,3,A,Aluno-189,2008,14,Menino,2018,Rede Decisão,Ametista,Ametista,Ametista,7.629,261,33,8,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.7,5.0,Requer avaliação,7.2,6.3,7.2,8.0,Não,Não,7.333,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-212,3,C,Aluno-212,2008,14,Menino,2022,Escola Pública,,,Ametista,7.268,407,49,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,9.6,8.4,7.5,Não atendido,6.2,4.8,5.8,7.8,Não,Não,6.958,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-221,3,D,Aluno-221,2008,14,Menino,2022,Escola Pública,,,Ágata,6.892,528,68,5,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,8.5,7.5,Não atendido,5.2,7.0,3.5,5.0,Não,Não,6.0,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-235,3,E,Aluno-235,2008,14,Menina,2022,Escola Pública,,,Ágata,6.79,559,73,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,7.3,7.5,Não atendido,6.3,7.0,5.5,,Não,Não,6.417,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-237,3,F,Aluno-237,2008,14,Menina,2022,Escola Pública,,,Topázio,8.084,121,19,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,10.0,9.0,7.5,Não atendido,7.8,6.8,7.7,8.8,Sim,Sim,8.417,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,1.0,True,3
RA-241,3,F,Aluno-241,2008,14,Menino,2016,Rede Decisão,Ametista,Topázio,Topázio,8.468,38,9,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,10.0,7.5,Não atendido,7.7,8.2,7.5,7.3,Não,Sim,9.125,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,1.0,True,3
RA-245,3,F,Aluno-245,2008,14,Menino,2016,Rede Decisão,Ametista,Topázio,Topázio,8.656,20,4,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.9,7.5,Não atendido,8.4,8.3,8.2,8.8,Não,Sim,9.25,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.0,1.0,True,3
RA-261,3,G,Aluno-261,2008,14,Menina,2019,Escola Pública,Ágata,Quartzo,Ágata,6.763,566,74,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.8,7.2,5.6,Sem limitações,5.8,6.2,5.8,5.5,Sim,Não,7.042,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-277,3,K,Aluno-277,2008,14,Menino,2021,Escola Pública,,Ametista,Ametista,7.411,354,41,7,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,7.1,8.8,7.5,Não atendido,7.4,7.2,7.0,8.2,Sim,Não,7.208,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-283,3,K,Aluno-283,2008,14,Menino,2020,Escola Pública,Ágata,Ágata,Ametista,7.131,448,54,9,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.6,8.8,7.5,Não atendido,5.6,4.5,5.8,6.6,Não,Não,6.625,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-289,3,L,Aluno-289,2008,14,Menina,2020,Escola Pública,Ametista,Quartzo,Ágata,6.236,699,94,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,0.0,7.8,6.3,Sem limitações,6.8,5.3,7.5,7.5,Não,Não,7.25,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
RA-295,3,M,Aluno-295,2008,14,Menina,2022,Escola Pública,,,Ametista,7.305,386,45,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.0,7.5,Não atendido,6.9,5.3,7.7,7.7,Sim,Não,7.375,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.0,1.0,False,3
